
"HORA","RPM","VEL","TEMP","LOAD"
"14:44:30.267","41 04 8B 

>41 0C 0C 54 
","
>","41 0D 04 

>","41 05 81 

>"
"14:44:35.379","41 04 81 

>","41 0C 12 B8 

>","41 0D 09 

>","41 05 81 

>"
"14:44:40.488","41 04 65 

>","41 0C 0C D0 

>","41 0D 05 

>","41 05 81 

>"
"14:44:45.582","41 04 81 

>","41 0C 0B F8 

>41 0D 00 
","
>41 05 82 
","
>41 04 87 
"
"14:44:50.696","
>","41 0C 0B D4 

>","41 0D 00 

>","41 05 82 

>"
"14:44:55.832","41 04 85 

>","41 0C 0B CC 

>","41 0D 00 

>","41 05 82 

>41 04 84 
"
"14:45:00.931","
>","41 0C 0B D0 

>","41 0D 00 

>","41 05 82 

>"
"14:45:06.041","41 04 83 

>41 0C 0B CC 
","
>41 0D 00 
","
>","41 05 82 

>"
"14:45:11.150","41 04 82 

>","41 0C 13 AC 

>","41 0D 07 

>","41 05 82 

>"
"14:45:16.273","41 04 A7 

>41 0C 18 B0 
","
>","41 0D 0B 

>","41 05 82 

>"
"14:45:21.385","41 04 98 

>41 0C 17 E4 
","
>","41 0D 11 

>","41 05 81 

>"
"14:45:26.494","41 04 BE 

>","41 0C 1D 20 

>","41 0D 16 

>","41 05 80 

>"
"14:45:31.602","41 04 98 

>","41 0C 20 10 

>","41 0D 19 

>","41 05 80 

>"
"14:45:36.709","41 04 7A 

>41 0C 13 A0 
","
>","41 0D 14 

>","41 05 80 

>"
"14:45:41.815","41 04 71 

>","41 0C 0D 20 

>","41 0D 04 

>","41 05 80 

>"
"14:45:46.931","41 04 88 

>","41 0C 0B F0 

>","41 0D 00 

>","41 05 81 

>"
"14:45:52.052","41 04 89 

>","41 0C 0B DC 

>","41 0D 02 

>","41 05 82 

>"
"14:45:57.160","41 04 88 

>41 0C 0C 0C 
","
>","41 0D 00 

>","41 05 82 

>"
"14:46:02.265","41 04 79 

>","41 0C 0B CC 

>","41 0D 00 

>","41 05 82 

>"
"14:46:07.381","41 04 8D 

>","41 0C 0B D4 

>","41 0D 00 

>","41 05 83 

>"
"14:46:12.499","41 04 87 

>","41 0C 0B D4 

>","41 0D 00 

>","41 05 83 

>41 04 84 
"
"14:46:17.611","
>","41 0C 0B E4 

>","41 0D 00 

>","41 05 83 

>"
"14:46:22.725","41 04 86 

>","41 0C 0C 84 

>","41 0D 03 

>","41 05 83 

>"
"14:46:27.840","41 04 86 

>","41 0C 0C FC 

>","41 0D 06 

>","41 05 82 

>"
"14:46:32.953","41 04 6B 

>","41 0C 17 40 

>","41 0D 14 

>","41 05 82 

>"
"14:46:38.063","41 04 41 

>","41 0C 17 40 

>","41 0D 13 

>","41 05 81 

>"
"14:46:43.177","41 04 49 

>","41 0C 17 F8 

>","41 0D 13 

>","41 05 7F 

>"
"14:46:48.290","41 04 46 

>","41 0C 0C 4C 

>","41 0D 03 

>","41 05 7F 

>41 04 7B 
"
"14:46:53.405","
>","41 0C 0C 3C 

>","41 0D 00 

>","41 05 80 

>"
"14:46:58.511","41 04 9E 

>","41 0C 0B B8 

>","41 0D 00 

>","41 05 81 

>"
"14:47:03.638","41 04 88 

>41 0C 0B C0 
","
>","41 0D 00 

>","41 05 82 

>"
"14:47:08.738","41 04 83 

>","41 0C 12 30 

>","41 0D 07 

>","41 05 82 

>"
"14:47:13.850","41 04 70 

>","41 0C 11 A4 

>","41 0D 08 

>","41 05 82 

>"
"14:47:18.963","41 04 65 

>","41 0C 0C A8 

>","41 0D 04 

>","41 05 82 

>"
"14:47:24.084","41 04 8D 

>","41 0C 11 6C 

>41 0D 05 
","
>","41 05 82 

>"
"14:47:29.195","41 04 A2 

>","41 0C 14 24 

>","41 0D 0E 

>","41 05 82 

>"
"14:47:34.309","41 04 57 

>","41 0C 2F 20 

>","41 0D 18 

>","41 05 81 

>"
"14:47:39.427","41 04 50 

>","41 0C 12 D4 

>","41 0D 13 

>41 05 80 
","
>"
"14:47:44.540","41 04 6F 

>","41 0C 0C C8 

>41 0D 05 
","
>41 05 80 
","
>41 04 8D 
"
"14:47:49.654","
>","41 0C 19 BC 

>","41 0D 10 

>","41 05 81 

>"
"14:47:54.767","41 04 99 

>","41 0C 1D 0C 

>","41 0D 17 

>41 05 81 
","
>"
"14:47:59.880","41 04 99 

>","41 0C 1F 2C 

>","41 0D 23 

>41 05 81 
","
>"
"14:48:04.977","41 04 8C 

>","41 0C 15 FC 

>","41 0D 23 

>","41 05 80 

>"
"14:48:21.948","41 04 00 

>","41 0C 0D 18 

>","41 0D 09 

>","41 05 80 

>"
"14:48:27.024","41 04 81 

>","41 0C 0D 68 

>","41 0D 05 

>","41 05 81 

>"
"14:48:32.091","41 04 CA 

>41 0C 0C 40 
","
>41 0D 03 
","
>41 05 81 
","
>"
"14:48:37.166","41 04 7B 

>41 0C 0C 04 
","
>41 0D 00 
","
>41 05 81 
","
>41 04 8B 
"
"14:48:30.028","
>41 0C 0D 08 
","
>","41 0D 04 

>41 05 82 
","
>41 04 8A 
"
"14:48:35.095","
>41 0C 0B F4 
","
>41 0D 00 
","
>41 05 82 
","
>"
"14:48:40.167","41 04 8D 

>","41 0C 0B F8 

>","41 0D 00 

>","41 05 82 

>"
"14:48:45.237","41 04 8A 

>41 0C 0B E0 
","
>41 0D 00 
","
>41 05 83 
","
>41 04 78 
"
"14:48:50.306","
>","41 0C 13 EC 

>","41 0D 08 

>","41 05 82 

>"
"14:48:55.376","41 04 C0 

>","41 0C 1A 68 

>","41 0D 13 

>","41 05 81 

>"
"14:49:00.450","41 04 CB 

>41 0C 21 30 
","
>41 0D 19 
","
>41 05 80 
","
>"
"14:49:05.544","41 04 A2 

>","41 0C 24 20 

>41 0D 1C 
","
>41 05 7F 
","
>41 04 C4 
"
"14:49:10.634","
>","41 0C 1E C8 

>","41 0D 23 

>","41 05 7F 

>"
"14:49:15.733","41 04 A2 

>","41 0C 1B 80 

>","41 0D 24 

>","41 05 80 

>"
"14:49:20.834","41 04 AA 

>","41 0C 1A 58 

>","41 0D 29 

>","41 05 81 

>"
"14:49:25.937","41 04 93 

>","41 0C 1A 94 

>","41 0D 2A 

>","41 05 81 

>"
"14:49:31.033","41 04 7D 

>","41 0C 1E 64 

>","41 0D 2C 

>41 05 81 
","
>41 04 A7 
"
"14:49:36.134","
>","41 0C 1D 68 

>","41 0D 2E 

>","41 05 81 

>"
"14:49:41.231","41 04 39 

>","41 0C 1A E8 

>","41 0D 2B 

>","41 05 81 

>"
"14:49:46.333","41 04 98 

>","41 0C 1C 60 

>","41 0D 2D 

>","41 05 80 

>"
"14:49:51.448","41 04 A8 

>","41 0C 1C 88 

>","41 0D 2D 

>41 05 80 
","
>41 04 4A 
"
"14:49:56.554","
>","41 0C 19 8C 

>41 0D 2C 
","
>41 05 80 
","
>41 04 00 
"
"14:50:01.665","
>41 0C 19 A4 
","
>","41 0D 29 

>","41 05 80 

>"
"14:50:06.778","41 04 00 

>","41 0C 15 94 

>","41 0D 22 

>41 05 7F 
","
>41 04 00 
"
"14:50:11.900","
>41 0C 13 44 
","
>41 0D 20 
","
>41 05 7F 
","
>"
"14:50:17.022","41 04 00 

>","41 0C 14 E8 

>","41 0D 21 

>41 05 7F 
","
>41 04 48 
"
"14:50:22.164","
>","41 0C 15 EC 

>","41 0D 24 

>","41 05 80 

>"
"14:50:27.267","41 04 42 

>","41 0C 16 40 

>","41 0D 25 

>","41 05 80 

>"
"14:50:32.373","41 04 41 

>41 0C 14 78 
","
>41 0D 15 
","
>","41 05 81 

>"
"14:50:37.482","41 04 60 

>41 0C 0F 60 
","
>41 0D 0A 
","
>","41 05 82 

>"
"14:50:42.589","41 04 7A 

>41 0C 0C 14 
","
>41 0D 03 
","
>41 05 82 
","
>41 04 8E 
"
"14:50:47.691","
>41 0C 0B F4 
","
>41 0D 00 
","
>","41 05 82 

>"
"14:50:52.792","41 04 89 

>41 0C 0B C4 
","
>41 0D 00 
","
>41 05 83 
","
>"
"14:50:57.908","41 04 7A 

>41 0C 19 10 
","
>41 0D 0D 
","
>41 05 83 
","
>"
"14:51:03.020","41 04 A8 

>41 0C 1E 04 
","
>41 0D 19 
","
>","41 05 82 

>"
"14:51:08.137","41 04 8F 

>","41 0C 18 7C 

>","41 0D 1E 

>","41 05 80 

>"
"14:51:13.250","41 04 83 

>","41 0C 1C 74 

>","41 0D 23 

>","41 05 80 

>"
"14:51:18.361","41 04 84 

>","41 0C 14 68 

>","41 0D 1E 

>","41 05 80 

>"
"14:51:23.477","41 04 57 

>","41 0C 0F FC 

>","41 0D 10 

>","41 05 80 

>"
"14:51:28.601","41 04 5F 

>","41 0C 0D 20 

>","41 0D 07 

>41 05 81 
","
>41 04 80 
"
"14:51:33.722","
>41 0C 0C 50 
","
>","41 0D 02 

>","41 05 81 

>"
"14:51:38.837","41 04 8B 

>","41 0C 0C 08 

>","41 0D 00 

>","41 05 82 

>"
"14:51:43.940","41 04 7D 

>","41 0C 0B BC 

>","41 0D 00 

>","41 05 82 

>"
"14:51:49.041","41 04 7E 

>","41 0C 1C 9C 

>","41 0D 0F 

>","41 05 82 

>"
"14:51:54.153","41 04 91 

>41 0C 1D 94 
","
>41 0D 18 
","
>41 05 81 
","
>41 04 53 
"
"14:51:59.261","
>","41 0C 19 6C 

>","41 0D 1D 

>","41 05 81 

>"
"14:52:04.375","41 04 AE 

>","41 0C 1F 48 

>","41 0D 26 

>","41 05 80 

>41 04 A6 
"
"14:52:09.484","
>","41 0C 22 18 

>","41 0D 29 

>","41 05 80 

>"
"14:52:14.597","41 04 5A 

>","41 0C 16 7C 

>","41 0D 24 

>","41 05 80 

>41 04 C6 
"
"14:52:19.713","
>","41 0C 1E 10 

>","41 0D 26 

>41 05 81 
","
>41 04 F0 
"
"14:52:24.809","
>","41 0C 1C 28 

>","41 0D 29 

>","41 05 81 

>"
"14:52:29.908","41 04 9B 

>","41 0C 15 10 

>","41 0D 16 

>41 05 82 
","
>"
"14:52:35.021","41 04 68 

>41 0C 0C 3C 
","
>41 0D 00 
","
>41 05 82 
","
>41 04 8A 
"
"14:52:40.113","
>","41 0C 0B BC 

>41 0D 00 
","
>41 05 82 
","
>41 04 88 
"
"14:52:45.216","
>","41 0C 0B DC 

>","41 0D 00 

>","41 05 83 

>"
"14:52:50.327","41 04 88 

>","41 0C 0B EC 

>","41 0D 00 

>41 05 83 
","
>"
"14:52:55.429","41 04 86 

>","41 0C 0B C8 

>","41 0D 00 

>","41 05 83 

>41 04 76 
"
"14:53:00.537","
>41 0C 0B BC 
","
>41 0D 00 
","
>41 05 83 
","
>41 04 A5 
"
"14:53:05.651","
>","41 0C 0B C0 

>","41 0D 00 

>","41 05 83 

>"
"14:53:10.766","41 04 86 

>","41 0C 0B D4 

>41 0D 00 
","
>","41 05 83 

>41 04 85 
"
"14:53:15.879","
>41 0C 1B B0 
","
>41 0D 0D 
","
>41 05 83 
","
>"
"14:53:20.991","41 04 C6 

>41 0C 23 C0 
","
>41 0D 1B 
","
>","41 05 80 

>"
"14:53:26.100","41 04 C2 

>41 0C 2C A0 
","
>41 0D 23 
","
>41 05 7F 
","
>41 04 A2 
"
"14:53:31.220","
>","41 0C 1E B8 

>41 0D 24 
","
>41 05 7F 
","
>41 04 87 
"
"14:53:36.345","
>","41 0C 17 98 

>","41 0D 25 

>","41 05 80 

>"
"14:53:41.433","41 04 86 

>","41 0C 18 00 

>","41 0D 26 

>41 05 82 
","
>"
"14:53:46.529","41 04 89 

>","41 0C 19 30 

>","41 0D 28 

>","41 05 82 

>"
"14:53:51.627","41 04 7C 

>41 0C 19 C8 
","
>41 0D 29 
","
>41 05 82 
","
>"
"14:53:56.727","41 04 7D 

>","41 0C 1A D8 

>","41 0D 28 

>","41 05 82 

>"
"14:54:01.832","41 04 D4 

>","41 0C 1C 28 

>","41 0D 27 

>","41 05 81 

>"
"14:54:06.935","41 04 71 

>","41 0C 1A 98 

>","41 0D 26 

>","41 05 81 

>"
"14:54:12.036","41 04 00 

>","41 0C 17 A4 

>","41 0D 26 

>","41 05 81 

>"
"14:54:17.153","41 04 4E 

>","41 0C 12 A4 

>","41 0D 1D 

>","41 05 80 

>"
"14:54:22.261","41 04 51 

>","41 0C 11 24 

>","41 0D 0C 

>","41 05 80 

>"
"14:54:27.372","41 04 6C 

>","41 0C 0C 64 

>","41 0D 01 

>41 05 81 
","
>41 04 88 
"
"14:54:32.483","
>","41 0C 0B D4 

>","41 0D 00 

>","41 05 82 

>"
"14:54:37.593","41 04 81 

>","41 0C 0B EC 

>","41 0D 01 

>","41 05 82 

>"
"14:54:42.692","41 04 78 

>","41 0C 0B B8 

>","41 0D 00 

>41 05 82 
","
>41 04 98 
"
"14:54:47.797","
>","41 0C 0B C8 

>","41 0D 00 

>","41 05 83 

>41 04 85 
"
"14:54:52.911","
>","41 0C 0B D8 

>","41 0D 00 

>","41 05 83 

>41 04 87 
"
"14:54:58.013","
>","41 0C 0C 00 

>","41 0D 00 

>","41 05 83 

>"
"14:55:03.107","41 04 82 

>","41 0C 0B DC 

>","41 0D 00 

>41 05 83 
","
>41 04 7F 
"
"14:55:08.216","
>","41 0C 0B E8 

>41 0D 00 
","
>41 05 83 
","
>41 04 80 
"
"14:55:13.331","
>41 0C 0C 38 
","
>","41 0D 05 

>","41 05 83 

>"
"14:55:18.441","41 04 A5 

>","41 0C 1A 88 

>","41 0D 16 

>41 05 82 
","
>41 04 3B 
"
"14:55:23.555","
>","41 0C 18 CC 

>41 0D 14 
","
>41 05 80 
","
>41 04 42 
"
"14:55:28.666","
>41 0C 20 24 
","
>41 0D 1A 
","
>41 05 7F 
","
>41 04 9E 
"
"14:55:33.781","
>41 0C 19 78 
","
>41 0D 1F 
","
>","41 05 7F 

>"
"14:55:38.889","41 04 74 

>","41 0C 19 40 

>","41 0D 1F 

>41 05 80 
","
>41 04 46 
"
"14:55:43.988","
>","41 0C 18 F4 

>41 0D 1B 
","
>41 05 81 
","
>41 04 4C 
"
"14:55:49.125","
>41 0C 14 DC 
","
>41 0D 18 
","
>","41 05 81 

>"
"14:55:54.266","41 04 51 

>41 0C 10 DC 
","
>41 0D 13 
","
>41 05 81 
","
>"
"14:55:59.408","41 04 5C 

>41 0C 0C 94 
","
>","41 0D 03 

>41 05 82 
","
>41 04 87 
"
"14:56:04.552","
>41 0C 0C 1C 
","
>","41 0D 00 

>","41 05 82 

>"
"14:56:09.694","41 04 80 

>41 0C 0B E0 
","
>41 0D 00 
","
>41 05 82 
","
>"
"14:56:14.838","41 04 80 

>41 0C 0B B0 
","
>41 0D 00 
","
>41 05 83 
","
>"
"14:56:19.978","41 04 80 

>41 0C 0B B8 
","
>41 0D 00 
","
>","41 05 83 

>"
"14:56:25.097","41 04 7F 

>41 0C 0B D4 
","
>41 0D 00 
","
>","41 05 83 

>"
"14:56:30.250","41 04 7F 

>41 0C 0B F4 
","
>41 0D 00 
","
>","41 05 83 

>"
"14:56:35.405","41 04 80 

>41 0C 13 08 
","
>","41 0D 06 

>","41 05 83 

>41 04 A9 
"
"14:56:40.544","
>41 0C 1E 4C 
","
>41 0D 17 
","
>41 05 81 
","
>41 04 8F 
"
"14:56:45.688","
>41 0C 15 68 
","
>41 0D 19 
","
>","41 05 80 

>"
"14:56:50.870","41 04 8F 

>41 0C 18 00 
","
>41 0D 1D 
","
>41 05 80 
","
>"
"14:56:55.994","41 04 41 

>41 0C 19 D4 
","
>41 0D 1F 
","
>41 05 80 
","
>"
"14:57:01.157","41 04 93 

>41 0C 18 7C 
","
>41 0D 1E 
","
>41 05 81 
","
>"
"14:57:06.341","41 04 D2 

>41 0C 20 E0 
","
>","41 0D 27 

>","41 05 81 

>"
"14:57:11.522","41 04 00 

>","41 0C 15 68 

>41 0D 22 
","
>41 05 81 
","
>41 04 3C 
"
"14:57:16.712","
>41 0C 19 98 
","
>41 0D 21 
","
>41 05 81 
","
>41 04 66 
"
"14:57:21.920","
>41 0C 11 78 
","
>41 0D 1A 
","
>","41 05 81 

>"
"14:57:27.106","41 04 4F 

>41 0C 0D EC 
","
>41 0D 0A 
","
>","41 05 81 

>"
"14:57:32.314","41 04 72 

>41 0C 0D 8C 
","
>41 0D 09 
","
>","41 05 82 

>"
"14:57:37.522","41 04 8B 

>41 0C 0C 68 
","
>41 0D 04 
","
>","41 05 82 

>"
"14:57:42.729","41 04 84 

>41 0C 0C 08 
","
>41 0D 00 
","
>41 05 82 
","
>"
"14:57:47.942","41 04 89 

>41 0C 0E 04 
","
>41 0D 06 
","
>","41 05 82 

>"
"14:57:53.157","41 04 58 

>41 0C 0C 4C 
","
>41 0D 04 
","
>41 05 82 
","
>41 04 82 
"
"14:57:58.377","
>41 0C 0C C0 
","
>41 0D 04 
","
>41 05 83 
","
>"
"14:58:03.593","41 04 8B 

>41 0C 0B E0 
","
>41 0D 00 
","
>41 05 83 
","
>"
"14:58:08.835","41 04 87 

>41 0C 0B F4 
","
>41 0D 00 
","
>41 05 83 
","
>41 04 84 
"
"14:58:14.080","
>41 0C 0B FC 
","
>41 0D 03 
","
>41 05 83 
","
>41 04 6E 
"
"14:58:19.320","
>41 0C 16 BC 
","
>41 0D 13 
","
>41 05 82 
","
>"
"14:58:24.536","41 04 40 

>","41 0C 12 44 

>","41 0D 0F 

>","41 05 81 

>"
"14:58:29.801","41 04 A7 

>41 0C 0D 58 
","
>41 0D 07 
","
>41 05 80 
","
>"
"14:58:35.085","41 04 D5 

>41 0C 13 90 
","
>41 0D 0E 
","
>41 05 80 
","
>"
"14:58:40.351","41 04 4E 

>41 0C 0C D8 
","
>41 0D 03 
","
>","41 05 81 

>"
"14:58:45.622","41 04 A1 

>41 0C 0B DC 
","
>41 0D 00 
","
>","41 05 82 

>"
"14:58:50.878","41 04 8F 

>41 0C 0B E4 
","
>41 0D 00 
","
>41 05 82 
","
>41 04 87 
"
"14:58:56.163","
>41 0C 0B D8 
","
>41 0D 00 
","
>41 05 83 
","
>41 04 9B 
"
"14:59:01.456","
>41 0C 21 74 
","
>41 0D 11 
","
>41 05 82 
","
>"
"14:59:06.740","41 04 C5 

>41 0C 23 F0 
","
>41 0D 1D 
","
>","41 05 81 

>"
"14:59:12.020","41 04 9C 

>","41 0C 22 90 

>41 0D 1E 
","
>","41 05 7F 

>41 04 84 
"
"14:59:17.301","
>41 0C 29 D8 
","
>41 0D 21 
","
>41 05 80 
","
>41 04 4F 
"
"14:59:22.591","
>41 0C 14 AC 
","
>41 0D 17 
","
>41 05 81 
","
>41 04 58 
"
"14:59:27.877","
>41 0C 0D 54 
","
>41 0D 05 
","
>","41 05 82 

>"
"14:59:33.171","41 04 7E 

>41 0C 0B E4 
","
>41 0D 00 
","
>41 05 82 
","
>"
"14:59:38.485","41 04 85 

>41 0C 0B DC 
","
>41 0D 00 
","
>41 05 83 
","
>"
"14:59:43.804","41 04 82 

>41 0C 0B B8 
","
>","41 0D 00 

>","41 05 83 

>"
"14:59:49.154","41 04 83 

>41 0C 0B DC 
","
>41 0D 00 
","
>","41 05 84 

>"
"14:59:54.930","41 04 81 

>","41 0C 0B B8 

>","41 0D 00 

>","41 05 84 

>"
"15:00:00.247","41 04 81 

>","41 0C 0B B0 

>41 0D 00 
","
>41 05 83 
","
>41 04 83 
"
"15:00:05.587","
>41 0C 0B B4 
","
>41 0D 00 
","
>","41 05 83 

>"
"15:00:10.946","41 04 87 

>41 0C 0B E0 
","
>41 0D 00 
","
>","41 05 83 

>"
"15:00:16.292","41 04 84 

>","41 0C 0B 8C 

>","41 0D 01 

>","41 05 82 

>"
"15:00:21.605","41 04 8A 

>41 0C 18 4C 
","
>","41 0D 0B 

>","41 05 82 

>41 04 81 
"
"15:00:26.963","
>41 0C 13 D0 
","
>41 0D 10 
","
>41 05 80 
","
>"
"15:00:32.319","41 04 4F 

>41 0C 11 E4 
","
>41 0D 0E 
","
>","41 05 80 

>"
